Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
LES PLAGES ELECTRONIQUES DE CANNES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,6,Annuelle,08 (août),www.plages-electroniques.com,MD030,CANNES,,13,8/9/2019,8/11/2019,1/1/2006,,,,,,,,,6400,6029,43.55262028,,,,,,,,,,
Salon L’Ile aux livres,Nouvelle-Aquitaine,Livre et littérature,,17,Annuelle,08 (août),www.ile-aux-livres.fr,JK018,Le Bois Plage en Ré,,12,8/9/2019,8/11/2019,1/1/2007,,,,,,,,,17580,17051,46.18252837,,,,,,,,,,
SPIRIT IN BLACK,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,68,Annuelle,08 (août),http://www.associationhopla.com,FD999,COLMAR,,2,8/14/2019,8/17/2019,1/1/2017,,,,,,,,,68000,68066,48.10994058,,,,,,,,,,
BOB MARLEY ONE LOVE CELEBRATION,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,34,Annuelle,08 (août),https://webcache.googleusercontent.com,KD126,FRONTIGNAN,,3,8/16/2019,8/17/2019,1/1/2016,,,,,,,,,34110,34108,43.44824589,,,,,,,,,,
JAZZ CAMPUS EN CLUNISOIS,Bourgogne-Franche-Comté,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rues Barrées,Bourgogne-Franche-Comté,Cirque et Arts de la rue,Arts de la rue,89,Annuelle,08 (août),http://www.ot-auxerre.fr/,BM008,AUXERRE,,,8/17/2019,8/18/2019,1/1/2018,,,,,,,,,89000,89024,47.79348823,,,,,,,,,,
Lectures sous l'arbre,Auvergne-Rhône-Alpes,Livre et littérature,Poésie,43,Annuelle,08 (août),http://www.lectures-sous-larbre.com/,AK009,LE CHAMBON SUR LIGNON,,28,8/18/2019,8/24/2019,1/1/1991,,,oui,,,,,,43400,43051,45.05246326,,,,,,,,,,
Semaine Flamenco,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,66,Annuelle,08 (août),www.amorflamenco.fr,KD188,Rivesaltes,,11,8/19/2019,8/24/2019,1/1/2008,,,,,,,,,66600,66164,42.77859104,,,,,,,,,,
CROSSOVER SUMMER,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,6,Annuelle,08 (août),www.festival-crossover.com,MD003,NICE,Diverses communes,11,8/23/2019,8/24/2019,1/1/2008,,,,,,,,,6100,6088,43.71199927,,,,,,,,,,
JAZZITUDES,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HESTIV'OC,Nouvelle-Aquitaine,Musiques actuelles,Musiques traditionnelles et du monde,64,Annuelle,08 (août),www.hestivoc.com,JD146,PAU,,14,8/23/2019,8/25/2019,1/1/2005,,,,,,,,,64000,64445,43.32001898,,,,,,,,,,
Festival Go Ba's,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,3,Annuelle,08 (août),www.festivalgobas.com,AD169,Bourbon l Archambault,,4,8/24/2019,8/25/2019,1/1/2015,,,,,,,,,3160,3036,46.58368191,,,,,,,,,,
FESTIVAL DES CARRIERES SAINT ROCH,Île-de-France,Pluridisciplinaire Musique,,95,Annuelle,08 (août),www.carrieres-st-roch.fr,HC004,Luzarches,,1,8/24/2019,8/25/2019,1/1/2018,,,,,,,,,95270,95352,49.11512111,,,,,,,,,,
BLACK BASS FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,08 (août),www.blackbassfestival.com,JD003,BRAUD ET ST LOUIS,,5,8/30/2019,8/31/2019,1/1/2014,,,,,,,,,33820,33073,45.25445185,,,,,,,,,,
GRAVEYARD FEST,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,42,,08 (août),,AD176,Riorges,,,8/31/2019,8/31/2019,,,,,,,,,,42153,42184,46.04291143,,,,,,,,,,
Les rencontres de Chaminadour,Nouvelle-Aquitaine,Livre et littérature,,23,Annuelle,09 (septembre),https://www.chaminadour.com/,JK004,GUERET,,13,9/19/2019,9/22/2019,1/1/2006,,,oui,,,,,,23000,23096,46.16321214,,,,,,,,,,
Salon du livre de Pont-Leveque,Normandie,Livre et littérature,,14,Annuelle,09 (septembre),www.lireapontleveque.fr,IK010,Pont L Eveque,,3,9/27/2019,9/28/2019,1/1/2016,,,,,,,,,14130,14514,49.28056192,,,,,,,,,,
Cafés littéraires de Montélimar,Auvergne-Rhône-Alpes,Livre et littérature,,26,Annuelle,10 (octobre),http://lescafeslitteraires.fr/,AK003,Montelimar,,23,10/3/2019,10/6/2019,1/1/1996,,,oui,,,,,,26200,26198,44.55408457,,,,,,,,,,
Salon Aller-retour dans le noir,Nouvelle-Aquitaine,Livre et littérature,Littérature policière,64,Annuelle,10 (octobre),https://www.unallerretourdanslenoir.com/,JK023,PAU,,10,10/5/2019,10/6/2019,1/1/2009,,,,,,,,,64000,64445,43.32001898,,,,,,,,,,
Fête du livre de Saint-Etienne,Auvergne-Rhône-Alpes,Livre et littérature,,42,Annuelle,10 (octobre),https://fetedulivre.saint-etienne.fr/,AK023,ST ETIENNE,,33,10/11/2019,10/13/2019,1/1/1986,,,,,,,,,42100,42218,45.43012355,,,,,,,,,,
Festival Quai des bulles,Bretagne,Livre et littérature,Bande dessinée,35,Annuelle,10 (octobre),www.quaidesbulles.com,CK004,ST MALO,,38,10/25/2019,10/27/2019,1/1/1981,,,oui,,,,,,35400,35288,48.64004435,,,,,,,,,,
Les Utopiales,Pays de la Loire,Transdisciplinaire,Science fiction,44,Annuelle,10 (octobre),http://www.utopiales.org,LA005,NANTES,,19,10/30/2019,11/4/2019,1/1/2000,,,oui,,,,,,44200,44109,47.23163568,,,,,,,,,,
TOP IN HUMOUR,Centre-Val de Loire,Divers Spectacle vivant,Humour,28,Annuelle,11 (novembre),http://www.topinhumour.fr,DH003,CHARTRES,,17,11/8/2019,11/24/2019,1/1/2002,,,,,,,,,28000,28085,48.44714649,,,,,,,,,,
Festival des littératures européennes de Cognac,Nouvelle-Aquitaine,Livre et littérature,,16,Annuelle,11 (novembre),www.litteratures-europeennes.com,JK013,COGNAC,,31,11/14/2019,11/17/2019,1/1/1988,,,,,,,,,16100,16102,45.69623266,,,,,,,,,,
Festival des fims et des livres voyageurs,Auvergne-Rhône-Alpes,Transdisciplinaire,Livre et cinéma,69,Annuelle,11 (novembre),www.quaisdudepart.fr,AA020,LYON,,7,11/21/2019,11/24/2019,1/1/2012,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
Festival du livre de jeunesse de Rouen,Normandie,Livre et littérature,Livre de jeunesse,76,Annuelle,11 (novembre),www.festival-livre-rouen.fr,IK011,ROUEN,,36,11/29/2019,12/1/2019,1/1/1983,,,,,,,,,76000,76540,49.44134601,,,,,,,,,,
LES RENCONTRES TRANS MUSICALES DE RENNES,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,12 (décembre),www.lestrans.com,CD143,RENNES,Saint Jacques de La Lande (35),40,12/4/2019,12/8/2019,1/1/1979,,,,oui,,,,,35700,35238,48.11197912,,,,,,,,,,
SANCY SNOW JAZZ,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felyn,Auvergne-Rhône-Alpes,Musiques actuelles,,69,,06 (juin),,AD999,LYON,,,6/19/2020,6/20/2020,1/1/2020,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
FESTIVAL GUITARE VALLEE,Auvergne-Rhône-Alpes,Pluridisciplinaire Musique,,42,Annuelle,01 (janvier),https://www.guitarevallee.fr/,AC004,RIVE DE GIER,Diverses communes de la Vallée du Gier,16,,,1/1/2003,,,,,,,,,42800,42186,45.5232369,,,,,,,,,,
MO'FO,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,93,Annuelle,01 (janvier),www.festivalmofo.org,HD215,ST OUEN,,14,,,1/1/2005,,,,,,,,,93400,93070,48.90980658,,,,,,,,,,
HOLOCENE,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,02 (février),lestival-holocene.fr,AD307,GRENOBLE,,2,,,1/1/2017,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
Festival Tandem,Bourgogne-Franche-Comté,Livre et littérature,,58,Annuelle,02 (février),https://www.tandemnevers.fr/,BK005,NEVERS,,5,,,1/1/2014,,,oui,,,,,,58000,58194,46.98811949,,,,,,,,,,
Jazz Escales à Ouistreham,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONE MAN BAND FESTIVAL,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,34,Annuelle,02 (février),https://tafproduction.blogspot.com/,KD243,ST JEAN DE VEDAS,,5,,,1/1/2014,,,,,,,,,34430,34270,43.57162823,,,,,,,,,,
Festival Caravane des cinémas d’Afrique,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,Cinémas étrangers,69,Biennale années paires,03 (mars),https://cinemourguet.com/caravane,AJ003,STE FOY LES LYON,,15,,,,oui,,,,,,,,69110,69202,45.73597814,,,,,,,,,,
BI HARRIZ LAU XORI,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,64,Annuelle,03 (mars),https://biarritz-culture.com/evenement/bi-harriz-lau-xori/,JB019,BIARRITZ,,7,,,1/1/2012,,,,,,,,,64200,64122,43.46958472,,,,,,,,,,
Festival Itinérances d’Alès,Occitanie,Cinéma et audiovisuel,,30,Annuelle,03 (mars),www.itinerances.org,KJ005,ALES,,36,,,1/1/1983,oui,,,,,,,,30100,30007,44.12500991,,,,,,,,,,
Festival de fanfares Brest et Ouessant,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,29,,05 (mai),,CD098,BREST,,,,,,,,,,,,,,29200,29019,48.40049978,,,,,,,,,,
LES OREILLES DU RENARD,Auvergne-Rhône-Alpes,Musiques actuelles,,7,Annuelle,05 (mai),www.lesoreillesdurenard.net,AD277,ST Sauveur de Montagut,Lieu différent chaque année en Drôme Ardèche,18,,,1/1/2001,,,,,,,,,7190,7295,44.82022713,,,,,,,,,,
MUSIQUE ACTION,Grand Est,Pluridisciplinaire Musique,,54,Annuelle,05 (mai),www.musiqueaction.com,FC002,VANDOEUVRE LES NANCY,,34,,,1/1/1985,,,,,,,,,54500,54547,48.65799994,,,,,,,,,,
FOURCHETTES SONIQUES,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,37,Annuelle,05 (mai),http://www.fourchettes-soniques.com,DD044,TOURS,,5,,,1/1/2014,,,,,,,,,37000,37261,47.39863823,,,,,,,,,,
VAL D'AULNAY,Île-de-France,Pluridisciplinaire Musique,,92,,05 (mai),www.festivaldaulnay.fr,HC002,CHATENAY MALABRY,,,,,,,,,,,,,,92290,92019,48.76816902,,,,,,,,,,
Les Ateliers ouverts,Grand Est,Arts plastiques et visuels,,67,,05 (mai),http://www.ateliersouverts.net/,FI001,STRASBOURG,Diverses communes,,,,,oui,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
Regards croisés,Auvergne-Rhône-Alpes,Livre et littérature,Ecritures,38,Annuelle,05 (mai),http://www.troisiemebureau.com/,AK015,GRENOBLE,,18,,,1/1/2001,,,oui,,,,,,38000,38185,45.18212152,,,,,,,,,,
Festival de l’Acharnière,Hauts-de-France,Cinéma et audiovisuel,,59,Annuelle,05 (mai),http://festival.lacharniere.free.fr/,GJ004,LILLE,,38,,,1/1/1981,oui,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
LES MUSICALES DE BAGATELLE,Île-de-France,Musiques classiques,,75,Annuelle,05 (mai),http://www.lesmusicalesdebagatelle.com,HE014,PARIS,,11,,,1/1/2008,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL MENUHIN,Île-de-France,Musiques classiques,,92,Annuelle,05 (mai),http://www.festivalhommagemenuhin.com,HE018,VILLE D AVRAY,,3,,,1/1/2016,,,,,,,,,92410,92077,48.82158956,,,,,,,,,,
De jour // De nuit,Île-de-France,Cirque et Arts de la rue,Arts de la rue,91,Annuelle,05 (mai),http://ruzo.fr/,HM007,La Norville,,7,,,1/1/2012,,,,,,,,,91290,91457,48.58142253,,,,,,,,,,
Festival du mot,Bourgogne-Franche-Comté,Livre et littérature,,58,,05 (mai),http://www.festivaldumot.fr/,BK004,La Charite sur Loire,,,,,,,,,,,,,,58400,58059,47.1835862,,,,,,,,,,
FESTIVAL DEJANTE,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,22,Annuelle,05 (mai),http://festival-dejante.com,CD067,ST Goueno,,13,,,1/1/2006,,,,,,,,,22330,22046,48.29373127,,,,,,,,,,
CHANSONS EN FÊTE,Bourgogne-Franche-Comté,Musiques actuelles,Chanson,39,,05 (mai),www.oreille-en-fete.fr,BD073,ARBOIS,,,,,,,,,,,,,,39600,39013,46.89417498,,,,,,,,,,
FAMILIJAZZ,Hauts-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN JOURNEYS,Hauts-de-France,Musiques actuelles,Musiques traditionnelles et du monde,59,,05 (mai),www.american-journeys.com,GD023,CAMBRAI,,,,,,,,,,,,,,59400,59122,50.1702776,,,,,,,,,,
Cigogne en Fête,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,17,,05 (mai),,JB004,Soubise,,,,,,,,,,,,,,17780,17429,45.90972627,,,,,,,,,,
ACCORDÉONS-NOUS À TRENTELS,Nouvelle-Aquitaine,Musiques actuelles,,47,Annuelle,05 (mai),www.accordeonsnousatrentels.com,JD131,TRENTELS,,15,,,1/1/2004,,,,,,,,,47140,47315,44.44569644,,,,,,,,,,
JAZZ'VELANET,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHEZ OIM FEST,Hauts-de-France,Musiques actuelles,,62,Annuelle,06 (juin),www.chezoimfest.fr,GD081,NOYELLES SOUS BELLONNE,,5,,,1/1/2014,,,,,,,,,62490,62627,50.30915453,,,,,,,,,,
Festival Cinémonde,Hauts-de-France,Cinéma et audiovisuel,,62,Annuelle,06 (juin),http://www.kdiffusion.com/,GJ012,BERCK,,14,,,1/1/2005,oui,,,,,,,,62600,62108,50.41415743,,,,,,,,,,
Marché de la poésie,Île-de-France,Livre et littérature,Poésie,75,,06 (juin),http://www.marche-poesie.com/,HK004,PARIS,,,,,,,,oui,,,,,,75001,75101,48.86263049,,,,,,,,,,
JAZZ AND BLUES FESTIVAL DE LEOGNAN,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival De Musique Du Haut Jura,Bourgogne-Franche-Comté,Musiques classiques,Baroque et ancien,39,,06 (juin),http://www.festival-musique-baroque-jura.com/,BE013,ST CLAUDE,,,,,,oui,,,,,,,,39200,39478,46.4086004,,,,,,,,,,
l'Annuelle,Bourgogne-Franche-Comté,Cirque et Arts de la rue,Arts de la rue,25,Annuelle,06 (juin),http://artistesalacampagne.fr/presentation_de_l_annuelle.html,BM001,CHAMPLIVE,Une commune différente chaque année,,,,,,,,,,,,,,,,,,,,,,,,,
LES AGITES DU BOCAL A NIVILLAC,Bretagne,Pluridisciplinaire Spectacle vivant,,56,,06 (juin),,CB001,Nivillac,,,,,,,,,,,,,,56130,56147,47.54055333,,,,,,,,,,
ROCK'IN CHARGE,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,37,,06 (juin),,DD034,Charge,,,,,,,,,,,,,,37530,37060,47.43166218,,,,,,,,,,
Festival Chopin à Nohant,Centre-Val de Loire,Musiques classiques,,36,Annuelle,06 (juin),,DE004,Nohant Vic,,52,,,1/1/1967,,,,,,,,,36400,36143,46.64013571,,,,,,,,,,
FEW (Fête de l'Eau à Wattwiller),Grand Est,Arts plastiques et visuels,,68,Annuelle,06 (juin),https://www.few-art.org/,FI010,Wattwiller,,21,,,1/1/1998,,,,,,,,,68700,68359,47.84215392,,,,,,,,,,
FESTIVAL ECLATS DE VOIX A AUCH,Occitanie,Musiques actuelles,Chanson,32,Annuelle,06 (juin),,KD103,AUCH,,21,,,1/1/1998,,,,,,,,,32000,32013,43.65343004,,,,,,,,,,
JAZZ AUX ECLUSES,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival So Film,Pays de la Loire,Cinéma et audiovisuel,,44,Annuelle,06 (juin),http://www.sofilm-festival.fr/,LJ003,NANTES,,4,,,1/1/2015,oui,,,,,,,,44200,44109,47.23163568,,,,,,,,,,
PIG'HALLE,Auvergne-Rhône-Alpes,Musiques actuelles,,38,Annuelle,06 (juin),http://ruehauteproductions.fr/pig-halle,AD302,ST ANTOINE L ABBAYE,,4,,,1/1/2015,,,,,,,,,38160,38359,45.17223536,,,,,,,,,,
NUITS COULEURS,Occitanie,Musiques actuelles,,34,Annuelle,06 (juin),www.nuitscouleurs.com,KD222,GIGNAC,,14,,,1/1/2005,,,,,,,,,34150,34114,43.63939372,,,,,,,,,,
TOUCHES DE JAZZ,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMANO FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,91,Annuelle,06 (juin),,HD133,EVRY,,3,,,1/1/2016,,,,,,,,,91000,91228,48.62948317,,,,,,,,,,
Festival International du Film de La Rochelle,Nouvelle-Aquitaine,Cinéma et audiovisuel,,17,Annuelle,06 (juin),http://www.festival-larochelle.org,JJ006,LA ROCHELLE,,46,,,1/1/1973,oui,oui,,,,,,,17000,17300,46.1620644,,,,,,,,,,
MES DE JAZZ,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKORAMA,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,83,Annuelle,06 (juin),www.rockorama.fr,MD171,TOULON,,10,,,1/1/2009,,,,,,,,,83200,83137,43.13615897,,,,,,,,,,
CELLO FAN DE CALLIAN / PAYS DE FAYENCE,Provence-Alpes-Côte d'Azur,Musiques classiques,,83,Annuelle,06 (juin),https://www.cello-fan.com/index.php,ME016,Callian,Plusieurs communes du Pays de Fayence,20,,,1/1/1999,,,,,,,,,83440,83029,43.61251802,,,,,,,,,,
BUBBLE DJ FESTIVAL,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,51,Annuelle,06 (juin),http://www.bubbledjfestival.fr/,FD020,Epernay,,1,,,1/1/2018,,,,,,,,,51200,51230,49.03700069,,,,,,,,,,
MUSIQUES ET TERRASSES,Grand Est,Musiques actuelles,,55,Annuelle,06 (juin),www.musiques-terrasses.fr,FD104,VERDUN,,24,,,1/1/1995,,,,,,,,,55100,55545,49.14548319,,,,,,,,,,
LES RUTILANTS,Hauts-de-France,Musiques actuelles,,62,Annuelle,06 (juin),www.9-9bis.com,GD107,OIGNIES,,14,,,1/1/2005,,,,,,,,,62590,62637,50.46444834,,,,,,,,,,
LE LAVOIR ÉLECTRIQUE,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,86,Annuelle,06 (juin),www.lelavoirelectrique.com,JD219,VOUNEUIL SOUS BIARD,,8,,,1/1/2011,,,,,,,,,86580,86297,46.57925557,,,,,,,,,,
FIMU,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,90,Annuelle,06 (juin),http://www.fimu.com,BD041,BELFORT,,32,,,1/1/1987,,,,,,,,,90000,90010,47.64715394,,,,,,,,,,
LA VIE EN REUZ,Bretagne,Musiques actuelles,,29,,06 (juin),www.lavieenreuz.com,CD156,DOUARNENEZ,,,,,,,,,,,,,,29100,29046,48.08065266,,,,,,,,,,
CA VA JAZZER,Centre-Val de Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARTING BLOCKS,Centre-Val de Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROC'N'ROLL,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,54,,06 (juin),www.desbruitsdecasseroles.fr,FD038,MESSEIN,,,,,,,,,,,,,,54850,54366,48.61048176,,,,,,,,,,
DROP'N'ROCK,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,88,,06 (juin),www.dropnrock.com,FD091,STE MARGUERITE,,,,,,,,,,,,,,88100,88424,48.26755811,,,,,,,,,,
La Constellation Imaginaire,Hauts-de-France,Pluridisciplinaire Spectacle vivant,,62,,06 (juin),,GB001,ARRAS,Diverses communes,,,,,,,,,,,,,62000,62041,50.2898965,,,,,,,,,,
AU FEMININ,Île-de-France,Transdisciplinaire,,75,,06 (juin),,HA006,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
JAZZ AU CŒUR & GUITARE À L'ÂME,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP-HOP ET DES CULTURES URBAINES DE ST-DENIS,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,93,,06 (juin),,HD167,ST DENIS,,,,,,,,,,,,,,93200,93066,48.92956505,,,,,,,,,,
FIFRES DE GARONNE,Nouvelle-Aquitaine,Musiques actuelles,Musiques traditionnelles et du monde,33,Annuelle,06 (juin),www.sous-fifre,JD107,ST PIERRE D AURILLAC,,29,,,1/1/1990,,,,,,,,,33490,33463,44.57919284,,,,,,,,,,
A-NIMÉ,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,30,Annuelle,06 (juin),www.a-nimes.fr,KD051,NIMES,,16,,,1/1/2003,,,,,,,,,30900,30189,43.84493839,,,,,,,,,,
ESTIJAZZ ET MUSIQUES D'AILLEURS,Pays de la Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNE'ZIK OPEN AIR FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,83,,06 (juin),,MD100,BRIGNOLES,,,,,,,,,,,,,,83170,83023,43.39929419,,,,,,,,,,
JOUTES MUSICALES DE PRINTEMPS,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,83,Annuelle,06 (juin),www.le-chantier.com,MD102,CORRENS,,22,,,1/1/1997,,,,,,,,,83570,83045,43.48641856,,,,,,,,,,
JAZZ AUX CAPUCINS,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT-DE-FRANCE,Martinique,Pluridisciplinaire Spectacle vivant,,972,,07 (juillet),,QB001,FORT DE FRANCE,,,,,,,,,,,,,,97234,97209,14.64111144,,,,,,,,,,
VOI(X) LÀ L'ÉTÉ À EPERNAY,Grand Est,Musiques actuelles,,51,Annuelle,07 (juillet),www.epernay.fr,FD019,EPERNAY,,4,,,1/1/2015,,,,,,,,,51200,51230,49.03700069,,,,,,,,,,
POLYMUSICALES DE BOLLENE,Provence-Alpes-Côte d'Azur,Musiques actuelles,,84,Annuelle,07 (juillet),http://www.ville-bollene.fr,MD196,BOLLENE,,29,,,1/1/1990,,,,,,,,,84500,84019,44.28820164,,,,,,,,,,
JAZZBULLES,Pays de la Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLIOURE JAZZY,Occitanie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES ENFANTS DU MONDE,Nouvelle-Aquitaine,Musiques actuelles,Musiques traditionnelles et du monde,79,Annuelle,07 (juillet),www.rife.asso.fr,JD160,ST MAIXENT L ECOLE,,32,,,1/1/1987,,,,,,,,,79400,79270,46.4128319,,,,,,,,,,
FETES ESCALES A VENISSIEUX,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques traditionnelles et du monde,69,Annuelle,07 (juillet),www.ville-venissieux.fr/,AD151,VENISSIEUX,,20,,,1/1/1999,,,,,,,,,69200,69259,45.70377288,,,,,,,,,,
SABLE SHOW,Normandie,Musiques actuelles,,14,Annuelle,07 (juillet),https://www.indeauville.fr/grands-rendez-vous-culture,ID079,VILLERS SUR MER,,30,,,1/1/1989,,,,,,,,,14640,14754,49.31107564,,,,,,,,,,
Rue des étoiles,Nouvelle-Aquitaine,Cirque et Arts de la rue,,40,,07 (juillet),www.crabb.fr,JM001,Biscarrosse,,,,,,,,,,,,,,40600,40046,44.40908011,,,,,,,,,,
A L'EST DES DUNES - Jazz à Sables d'or,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST SUMMER FEST,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,54,Annuelle,07 (juillet),www.eastsummerfest.fr/,FD035,DIEULOUARD,,8,,,1/1/2011,,,,,,,,,54380,54157,48.83403644,,,,,,,,,,
Les Abracadagrasses,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,11,Annuelle,07 (juillet),www.abracadagrasses.fr,KD023,Lagrasse,,19,,,1/1/2000,,,,,,,,,11220,11185,43.09572303,,,,,,,,,,
REGGAE SESSION FESTIVAL,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,82,Annuelle,07 (juillet),www.reggae-session-festival.com,KD234,Montricoux,,3,,,1/1/2016,,,,,,,,,82800,82132,44.10350577,,,,,,,,,,
Festival Les Antiques de Glanum,Provence-Alpes-Côte d'Azur,Pluridisciplinaire Spectacle vivant,,13,Annuelle,07 (juillet),,MB012,ST REMY DE PROVENCE,,3,,,1/1/2016,,,,,,,,,13210,13100,43.7834249,,,,,,,,,,
LES FÊTES MUSICALES DU CHÂTEAU DE PIONSAT,Auvergne-Rhône-Alpes,Musiques classiques,,63,,07 (juillet),www.musicalesdepionsat.com,AE010,PIONSAT,,,,,,,,,,,,,,63330,63281,46.11999546,,,,,,,,,,
CIRQUE D'ETE A NIORT,Nouvelle-Aquitaine,Cirque et Arts de la rue,Cirque,79,Annuelle,07 (juillet),www.cirque-scene.fr/,JM021,NIORT,,4,,,1/1/2015,,,,,,,,,79000,79191,46.32826024,,,,,,,,,,
TEMPS FÊTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE BUGUELES,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,22,Biennale années paires,07 (juillet),https://www.festivaldebugueles.fr/,CD046,Penvenan,,9,,,1/1/2010,,,,,,,,,22710,22166,48.81601441,,,,,,,,,,
FestiLoir,Pays de la Loire,Pluridisciplinaire Spectacle vivant,,72,Annuelle,07 (juillet),www.pays-valleeduloir.fr/,LB002,LE MANS,Diverses communes,15,,,1/1/2004,,,,,,,,,72000,72181,47.98852567,,,,,,,,,,
LES ESCALES DE SAINT NAZAIRE,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,44,,07 (juillet),,LD042,ST Nazaire,,,,,,,,,,,,,,44600,44184,47.2802857,,,,,,,,,,
