Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
Kolorz Festival Edition hiver,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,84,Annuelle,02 (février),http://kolorzfestival.com,MD139,CARPENTRAS,,,2/8/2019,2/9/2019,1/1/2014,,,,,,,,,84200,84031,44.05938026,,,,,,,,,,
URBAINES,Bretagne,Pluridisciplinaire Spectacle vivant,Cultures urbaines,35,Annuelle,02 (février),www.urbaines.fr,CB014,RENNES,,9,2/20/2019,3/10/2019,1/1/2010,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
SEVENADUR,Bretagne,Musiques actuelles,Musiques traditionnelles et du monde,35,Annuelle,02 (février),www.sevenadur.org,CD183,RENNES,,18,2/20/2019,3/17/2019,1/1/2001,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
LES ENCHANTEURS,Hauts-de-France,Musiques actuelles,Chanson,62,Annuelle,02 (février),http://www.festival-lesenchanteurs.com,GD005,AIX NOULETTE,Diverses communes du Bassin Minier du Pas de Calais,19,2/22/2019,4/6/2019,1/1/2000,,,,,,,,,62160,62019,50.42124241,,,,,,,,,,
LARSENIK FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,63,Annuelle,02 (février),http://ville-labourboule.com/sortir/lagenda-des-animations/event/1782-larsenik-festival.html,AD317,LA BOURBOULE,,,2/25/2019,3/1/2019,1/1/2017,,,,,,,,,63150,63047,45.57962362,,,,,,,,,,
LES SUDS EN HIVER (ARLES),Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,13,Annuelle,03 (mars),http://www.suds-arles.com/fr/2018,MD205,ARLES,Boulbon (13)  /  Saint Pierre de Mezoargues (13)  /  Saint Martin de Crau (13)  /  Tarascon (13),,3/2/2019,3/10/2019,1/1/2018,,,,,,,,,13123,13004,43.54686924,,,,,,,,,,
Europa Jazz Festival,Pays de la Loire,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival TOTO TOTAL,La Réunion,Pluridisciplinaire Spectacle vivant,,974,Annuelle,03 (mars),www.teat.re,PB001,ST DENIS,Cinq à dix communes par édition,9,3/5/2019,3/16/2019,1/1/2010,oui,,,,oui,,,,97400,97411,-20.93297082,,,,,,,,,,
Fête du livre de Bron,Auvergne-Rhône-Alpes,Livre et littérature,,69,Annuelle,03 (mars),http://www.fetedulivredebron.com/,AK006,BRON,,32,3/6/2019,3/10/2019,1/1/1987,,,oui,,,,,,69500,69029,45.73448569,,,,,,,,,,
TRANSFER,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,69,Annuelle,03 (mars),https://www.weezevent.com,AD240,LYON,Feyzin (69),2,3/7/2019,3/9/2019,1/1/2017,,,,oui,,,,,69001,69381,45.76992844,,,,,,,,,,
SULFURE FESTIVAL,Île-de-France,Musiques actuelles,,75,Annuelle,03 (mars),http://sulfure-festival,HD247,PARIS,,,3/9/2019,3/31/2019,1/1/2019,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
LES HERONS MATH LE SON,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,49,Annuelle,03 (mars),https://lesheronsmathleson.fr/,LD066,ST MATHURIN SUR LOIRE,,,3/9/2019,3/9/2019,1/1/2010,,,,,,,,,49250,49307,47.42196453,,,,,,,,,,
FAIR TOUR,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,03 (mars),http://lefair.org,HD246,PARIS,Le Havre (76)  /  Saint Brieuc (22)  /  Rennes (35)  /  Nancy (54)  /  Biarritz (64)  /  Merignac (33)  /  Annecy (74)  / Strasbourg (67)  /  Venissieux (69)  /  Sannois (95)  / Clermont Ferrand (63)  /  Audincourt (25)  /  Saint Ave (56)  /  Laval (53)  /  Amiens (80)  /  La Rochelle (17)  / Ris Orangis (91),,3/10/2019,3/20/2019,1/1/2009,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
PRINTEMPS DE LA CHANSON,Normandie,Musiques actuelles,Chanson,61,Annuelle,03 (mars),www.odc-orne.com,ID078,SEES,15 communes du département de l'Orne,13,3/12/2019,3/31/2019,1/1/2006,,,,,,,,,61500,61464,48.60482968,,,,,,,,,,
Festival de géopolitique de Grenoble,Auvergne-Rhône-Alpes,Transdisciplinaire,Géopolitique,38,Annuelle,03 (mars),https://www.festivalgeopolitique.com/,AA019,GRENOBLE,,10,3/13/2019,3/16/2019,1/1/2009,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
Festival international du grand reportage / FIGRA,Hauts-de-France,Cinéma et audiovisuel,Documentaire,62,Annuelle,03 (mars),http://www.figra.fr/,GJ011,ST OMER,,25,3/13/2019,3/17/2019,1/1/1994,oui,,,,,,,,62500,62765,50.76797817,,,,,,,,,,
LES PLURIELS,Normandie,Pluridisciplinaire Spectacle vivant,,76,Annuelle,03 (mars),www.lespluriels.com,IB006,ROUEN,,,3/13/2019,3/16/2019,1/1/1998,,,,,,,,,76000,76540,49.44134601,,,,,,,,,,
Rencontre sur les Docs à Bayonne,Nouvelle-Aquitaine,Cinéma et audiovisuel,Documentaire,64,Annuelle,03 (mars),http://www.lesdocks.org/,JJ025,BAYONNE,,14,3/13/2019,3/16/2019,1/1/2005,oui,,,,,,,,64100,64102,43.4922254,,,,,,,,,,
MONTE DANS L'BUS,Pays de la Loire,Musiques actuelles,,53,Annuelle,03 (mars),www.6par4.com,LD138,LAVAL,Bonchamp,,,,,,,,,,,,,,,,,,,,,,,,,
Vidéoformes – festival international d’arts numériques de ClermontFerrand,Auvergne-Rhône-Alpes,Transdisciplinaire,Création numérique,63,,03 (mars),https://videoformes.com/,AA012,CLERMONT FERRAND,,,3/14/2019,3/17/2019,1/1/1986,oui,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
Festival de Guitare d’Aucamville et du Nord Toulousain,Occitanie,Musiques actuelles,,31,Annuelle,03 (mars),www.guitareaucamville.com,KD256,AUCAMVILLE,Gagnac sur Garonne (31)  /  Castelginest (31)  /  Fonbeauzard (31)  /  Fenouillet (31)  /  Launaguet (31)  /  Bruguieres (31)  /  Aucamville (31) / Toulouse (31),,3/14/2019,4/6/2019,1/1/2009,,,,,,,,,31140,31022,43.67139681,,,,,,,,,,
LES DETOURS DE BABEL,Auvergne-Rhône-Alpes,Pluridisciplinaire Musique,,38,Annuelle,03 (mars),www.detoursdebabel.fr,AC005,GRENOBLE,Varces-Allières-et-Risset,,,,,,,,,,,,,,,,,,,,,,,,,
PRINTEMPS DES BRETELLES,Grand Est,Musiques actuelles,Musiques traditionnelles et du monde,67,Annuelle,03 (mars),www.printempsdesbretelles.fr,FD113,ILLKIRCH GRAFFENSTADEN,,21,3/15/2019,3/24/2019,1/1/1998,,,,,,,,,67400,67218,48.5200499,,,,,,,,,,
A TOUT BOUT DE CHANT,Île-de-France,Pluridisciplinaire Spectacle vivant,,78,Annuelle,03 (mars),www.magny-les-hameaux.fr,HB010,MAGNY LES HAMEAUX,,17,3/15/2019,4/7/2019,1/1/2002,,,,,,,,,78114,78356,48.74102073,,,,,,,,,,
LIÉVIN METAL FEST,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,62,Annuelle,03 (mars),https://arcenciel.lievin.fr/lievin-metal-fest-4eme-edition/,,LIEVIN,,,3/15/2019,3/16/2019,1/1/2016,,,,,,,,,62800,62510,50.42427825,,,,,,,,,,
ELECTROCHOC,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,03 (mars),www.electrochoc-festival.com,AD111,BOURGOIN JALLIEU,,13,3/16/2019,3/30/2019,1/1/2006,,,,,,,,,38300,38053,45.6022028,,,,,,,,,,
LES GIBOULEES,Bretagne,Cirque et Arts de la rue,Arts de la rue,35,Annuelle,03 (mars),http://festival-lesgiboulees.fr/,CM015,RENNES,,3,3/16/2019,3/17/2019,1/1/2016,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
Grand festival contre le racisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES FOUS RIRES DE BORDEAUX,Nouvelle-Aquitaine,Divers Spectacle vivant,Humour,33,Annuelle,03 (mars),http://lesfousriresdebordeaux.fr/,JH007,BORDEAUX,,2,3/16/2019,3/23/2019,1/1/2017,,,,oui,,,,,33000,33063,44.85724454,,,,,,,,,,
FESTIVAL ANDALOU,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,84,Annuelle,03 (mars),www.alhambra-asso.com,MD133,AVIGNON,,17,3/16/2019,3/30/2019,1/1/2002,,,,,,,,,84140,84007,43.93524483,,,,,,,,,,
MARCKOLSWING,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
